no;questions;category0
1433;What 's the most abundant element in the sun ?;ENTITY
1434;What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?;LOCATION
1435;What U.S. state is Dixville Notch in ?;LOCATION
1436;Where was the Cisalpine Republic , 1797-185 , ?;LOCATION
1437;What is the largest shopping mall in the world ?;LOCATION
1438;What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?;HUMAN
1439;What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?;ENTITY
1440;What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?;HUMAN
1441;What is a meerkat ?;DESCRIPTION
1442;Who was Jean Nicolet ?;HUMAN
1443;What kind of animal was Winnie the Pooh ?;ENTITY
1444;Which of these are authors ?;HUMAN
1445;What 's the international radio code word for the letter B ?;ENTITY
1446;Who was the original Humpty Dumpty ?;HUMAN
1447;What is cache memory ?;DESCRIPTION
1448;Aspartame is also known as what ?;ENTITY
1449;Where is the location of the Orange Bowl ?;LOCATION
1450;When is President Nixon 's birthday ?;NUMERIC
1451;What is the origin of the midwest slang , ` you 're darn tootin ' ?;DESCRIPTION
1452;Whose cupboard was bare ?;HUMAN
1453;What are the seven seas ?;LOCATION
1454;What does IBM stand for ?;ABBREVIATION
1455;What is the difference between jazz and blues ?;DESCRIPTION
1456;What is the C programming language ?;DESCRIPTION
1457;What 's the name of Popeye 's adopted son ?;HUMAN
1458;Who invented the vacuum cleaner ?;HUMAN
1459;What is a ` borrow pit ' ?;DESCRIPTION
1460;What 2th-century fictional character attends Pencey Prep School ?;HUMAN
1461;How many people in the USA say their number one source of information is the newspaper ?;NUMERIC
1462;Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?;HUMAN
1463;Which country is known as `` Big Bear '' ?;LOCATION
1464;What `` melts in your mouth , not in your hands '' .;ENTITY
1465;How many times a day should you take a prescription marked `` q.i.d . '' ?;NUMERIC
1466;What is the origin of the atom ?;DESCRIPTION
1467;Who is the Voyager project manager ?;HUMAN
1468;Which radio stations air the Jim Bohannon Radio Talk Show ?;HUMAN
1469;What two commanders directed the forces in the Battle of El Alamein ?;HUMAN
1470;Name the creator of `` The Muppets '' .;HUMAN
1471;How do I e-mail someone at aol.com from yahoo.com ?;DESCRIPTION
1472;Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back ?;HUMAN
1473;What is the meaning of the name Ella ?;DESCRIPTION
1474;What 's the home of the Rockettes ?;LOCATION
1475;Where can I find all the information I need to know about the English Civil War , 1642-1649 , ?;LOCATION
1476;What is the name of the firm that makes Spumante ?;HUMAN
1477;What sport is played on the largest field ?;ENTITY
1478;Who won the 1967 Academy Award for Best Actor ?;HUMAN
1479;What is after death ?;ENTITY
1480;Name the first private citizen to fly in space .;HUMAN
1481;What was football star Elroy Hirsch 's nickname ?;HUMAN
1482;What singer sings `` Oh Boy '' ?;HUMAN
1483;How much pizza do Americans eat in a day ?;NUMERIC
1484;What is the website for the USA journal ?;LOCATION
1485;What army 's motto is Blood and Fire ?;HUMAN
1486;What kind of patent did Ermal Fraze get in 1963 ?;ENTITY
1487;What are you hearing when you put a seashell to your ear ?;DESCRIPTION
1488;Why are haunted houses popular ?;DESCRIPTION
1489;Which gender has bigger thighs ?;ENTITY
1490;What U.S. state has the second-longest coastline ?;LOCATION
1491;What state 's home to the Buffalo Bill Historical Center ?;LOCATION
1492;How fast do cheetahs run ?;NUMERIC
1493;What is Ray Bradbury 's illustrated man illustrated with ?;ENTITY
1494;How fast is a 45Mhz processor ?;NUMERIC
1495;What kind of puzzle first appeared in the U.S. in the New York World on December 21 , 1913 ?;ENTITY
1496;What count did Alexandre Dumas write about ?;HUMAN
1497;What are the odds of giving birth to twins ?;NUMERIC
1498;What is the largest natural lake in Pennsylvania ?;LOCATION
1499;How far is London UK from California ?;NUMERIC
1500;Name the two mystical ravens Odin has at his command .;ENTITY
1501;What was the species of Winnie the Pooh ?;ENTITY
1502;What is the virus HIV ?;DESCRIPTION
1503;How many years old is Benny Carter ?;NUMERIC
1504;What Hermann Hesse book gave its name to a rock group ?;ENTITY
1505;Where does the Santa Fe Trail begin and end ?;LOCATION
1506;What book is the follow-up to Future Shock ?;ENTITY
1507;What African animals are known as The Big Five ?;ENTITY
1508;What is the alphabet for Latin ?;ENTITY
1509;What is the fear of frogs ?;ENTITY
1510;Which city in Canada is the least-populated ?;LOCATION
1511;How old is Stevie Wonder ?;NUMERIC
1512;Who was the first Taiwanese President ?;HUMAN
1513;Who is Luke Skywalker 's father ?;HUMAN
1514;What does a dipsomaniac crave ?;ENTITY
1515;What is the definition of the term `` weapons system '' ?;DESCRIPTION
1516;What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?;DESCRIPTION
1517;What is Nero Wolfe 's favorite drink during office hours ?;ENTITY
1518;What is the first personal computer company ?;HUMAN
1519;What is the most efficient way to start a barbeque ?;ENTITY
1520;Who was Jane Goodall ?;HUMAN
1521;Why are there Braille things on the ATM machines that people drive through ?;DESCRIPTION
1522;Where is the Isle of Man ?;LOCATION
1523;What book did Aaron Hass write ?;ENTITY
1524;What was the death toll at the eruption of Mount Pinatubo ?;NUMERIC
1525;When will the millennium officially begin ?;NUMERIC
1526;Who created the comic strip , `` Garfield '' ?;HUMAN
1527;Which Vietnamese terrorist is now a UN delegate in Doonesbury ?;HUMAN
1528;What is real time processing ?;DESCRIPTION
1529;What do we call the imaginary line along the top of the Rocky Mountains ?;LOCATION
1530;What country 's capital is Lagos ?;LOCATION
1531;Where does Ray Bradbury 's Chronicles take place ?;LOCATION
1532;Who is the current prime minister and president of Russia ?;HUMAN
1533;Who established a Viking colony in Greenland about 985 ?;HUMAN
1534;What was the distinguishing mark on the `` Little Rascals '' dog ?;ENTITY
1535;What is the latitude and longitude of El Paso , Texas ?;NUMERIC
1536;Where can I get information about cystic fibrosis ?;LOCATION
1537;Where did Honecker rule ?;LOCATION
1538;What is the theory of equivalence states ?;DESCRIPTION
1539;What does a philatelist collect ?;ENTITY
1540;What is the life span of the average monkey ?;NUMERIC
1541;How many member states are in the UN ?;NUMERIC
1542;Who shot and killed himself while painting Wheatfield with Crows ?;HUMAN
1543;What will happen when sodium is put in water ?;DESCRIPTION
1544;What 's the meaning of UOL ?;DESCRIPTION
1545;What future President became Senate majority whip under Harry Truman ?;HUMAN
1546;Who was the architect of Central Park ?;HUMAN
1547;Which operating system runs on IBM-compatible machines ?;ENTITY
1548;What are the dimensions of an ice hockey goal ?;NUMERIC
1549;When was CNN 's first broadcast ?;NUMERIC
1550;What are the signs of a country going into a recession ?;ENTITY
1551;What is the circumorbital hematoma ?;DESCRIPTION
1552;What African country is governed from Ouagadougou ?;LOCATION
1553;What was the Christian name of the title character in Our Miss Brooks ?;HUMAN
1554;What hard-of hearing artist painted Sunflowers ?;HUMAN
1555;Who were the Yankee 's frequent enemies ?;HUMAN
1556;Who wrote Sons and Lovers ?;HUMAN
1557;What is the English translation for the word `` caliente '' ?;ENTITY
1558;What handicraft requires you to interlace your warp and weft ?;ENTITY
1559;What French seaport claims to be The Home of Wines ?;LOCATION
1560;How long does it take sunlight to reach Earth ?;NUMERIC
1561;How many milliseconds in a second ?;NUMERIC
1562;What Cherokee Indian gave his name to a tree ?;HUMAN
1563;When were camcorders introduced in Malaysia ?;NUMERIC
1564;What is the chance of conceiving quadruplets ?;NUMERIC
1565;Who was the star of Leave It to Beaver ?;HUMAN
1566;What countries have the largest armed forces in the world ?;LOCATION
1567;What was William F. Cody 's better-known name ?;HUMAN
1568;How do I increase my biceps ' size ?;DESCRIPTION
1569;Who did Richard Nixon tender his resignation to ?;HUMAN
1570;Who was Thucydides ?;HUMAN
1571;How is the element strontium purified ?;DESCRIPTION
1572;Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?;HUMAN
1573;What are tonsils for ?;DESCRIPTION
1574;What molecules include fluorine , sodium and magnesium ?;ENTITY
1575;What was the name of the ball game played by the mayans ?;ENTITY
1576;What was the sequel to The Moon 's Balloon ?;ENTITY
1577;What is the exchange rate for Australian to American money ?;NUMERIC
1578;What is the origin of the word ` posh ' ?;DESCRIPTION
1579;How can anyone tell if a female had sexual intercourse ?;DESCRIPTION
1580;How many states did Richard Nixon carry in 1972 ?;NUMERIC
1581;What basketball maneuver did Bert Loomis invent ?;ENTITY
1582;What is a good book to read for people who hate to read ?;ENTITY
1583;How many shillings more than 2 were there in a guinea ?;NUMERIC
1584;What does a tarantula eat ?;ENTITY
1585;What are the three secondary colors ?;ENTITY
1586;What does the name `` Sabrina '' mean ?;DESCRIPTION
1587;Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?;HUMAN
1588;What were the trials called which followed World War II ?;ENTITY
1589;What is hebephrenia ?;DESCRIPTION
1590;What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?;HUMAN
1591;What famous events have happened on March 27 ?;ENTITY
1592;Which company claimed to be `` the world 's biggest toy store '' ?;HUMAN
1593;What brand number graces the black label of a bottle of Jack Daniel 's ?;NUMERIC
1594;What do I call the sons and daughters of my first cousins ?;ENTITY
1595;What were the causes of the Civil War ?;DESCRIPTION
1596;What are Maid-Rites ?;DESCRIPTION
1597;What city is terrorized by Dracula in The Night Stalker ?;LOCATION
1598;How can you prevent it ?;DESCRIPTION
1599;What do the names Andrew and Christina mean ?;DESCRIPTION
1600;What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?;ENTITY
1601;Who is the fastest guitarist ?;HUMAN
1602;What do camels store in their humps ?;ENTITY
1603;What is the name of the second space shuttle ?;ENTITY
1604;What is the best hospital for orthopedics in the country ?;LOCATION
1605;What are perfect tenses ?;DESCRIPTION
1606;What is commonly considered the fifth sense ?;DESCRIPTION
1607;What was another name for East Germany ?;ENTITY
1608;What 's the second-biggest-selling magazine in America ?;ENTITY
1609;Who betrayed Norway to the Nazis ?;HUMAN
1610;Who took the toys donated for the Doodyville Orphans ' Fund and kept them for himself ?;HUMAN
1611;What is a bourdon tube ?;DESCRIPTION
1612;What kind of a sports team is the Wisconsin Badgers ?;ENTITY
1613;Who were the Picts ?;HUMAN
1614;What do Caroll Baker , Tammy Grimes , Debbie Reynolds , and Judy Garland all have in common ?;DESCRIPTION
1615;What is film noir ?;DESCRIPTION
1616;Who is stationed at Camp Swampy in the comic strips ?;HUMAN
1617;In what year did China and the Republic of Korea establish diplomatic relations ?;NUMERIC
1618;What causes tuberculosis ?;DESCRIPTION
1619;How tall is the giraffe ?;NUMERIC
1620;What actor dressed up as Santa Claus and had a once-a-year affair with actress Shelley Winters every Christmas for many years ?;HUMAN
1621;What animal was the heat-seeking missile called the Sidewinder named for ?;ENTITY
1622;How long did it take Stanley to find Livingstone ?;NUMERIC
1623;How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?;NUMERIC
1624;What lake is Sheboygan on ?;LOCATION
1625;What are a baseball team 's firemen ?;DESCRIPTION
1626;What is a fear of color ?;ENTITY
1627;What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?;ENTITY
1628;What are the two largest birds on earth ?;ENTITY
1629;Name the four stories contained in Edith Wharton 's `` Old New York . '';ENTITY
1630;What is the largest lake in North America ?;LOCATION
1631;How many people died because of a smoking problem in 1997 ?;NUMERIC
1632;What is chronic constipation a symptom of ?;ENTITY
1633;Who wrote The Look of Love after viewing Ursula Andress ?;HUMAN
1634;What is the name of the American swimmer who won seven gold medals in the 1972 Olympics ?;HUMAN
1635;Who claims to have the greatest show on earth ?;HUMAN
1636;What is Head Start ?;DESCRIPTION
1637;What Honeymooners actress did Television magazine name as 1953 's most promising star ?;HUMAN
1638;Why can 't women serve in the Navy on board submarines ?;DESCRIPTION
1639;What did the Yalta Conference lead to ?;ENTITY
1640;What dog was dubbed The Mortgage Lifter ?;ENTITY
1641;What is saltpeter ?;DESCRIPTION
1642;What 's the difference between J.D. and LL.M. ?;DESCRIPTION
1643;What kind of organization is ` Last Chance for Animals ' ?;HUMAN
1644;What was the role of the Medieval Guild ?;HUMAN
1645;Silly putty was invented by whom ?;HUMAN
1646;What should the oven be set at for baking Peachy Oat Muffins ?;ENTITY
1647;How can someone become a federal agent ?;DESCRIPTION
1648;Who invented the paper clip ?;HUMAN
1649;Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?;HUMAN
1650;How many times in his 16-year National Basketball Associaton career was John Havlicek a member of the all-star team ?;NUMERIC
1651;What city or state do the most gay men live in ?;LOCATION
1652;Shea and Gould had an office in Los Angeles for how long before closing it ?;NUMERIC
1653;What word occurs 46 , 227 times in the Bible ?;ENTITY
1654;How can you be happy ?;DESCRIPTION
1655;How would someone go about becoming an organ donor ?;DESCRIPTION
1656;What year did Degas create the bronze sculpture , `` Fourth Position Front ? '';NUMERIC
1657;What composer was awarded the Medal of Honor by Franklin D. Roosevelt ?;HUMAN
1658;How many URL extensions are there ? and what are they ?;NUMERIC
1659;How long after intercourse does it take to find out if you are pregnant ?;NUMERIC
1660;What does U.S.S.R. stand for ?;ABBREVIATION
1661;Who created the Fantastic Four , Hulk , and Thor ?;HUMAN
1662;What is a fear of gravity ?;ENTITY
1663;Who is the composer of `` Canon in D Major '' ?;HUMAN
1664;What did n't Rocky Marciano do in his pro boxing career ?;DESCRIPTION
1665;Where are all European and American eels born ?;LOCATION
1666;Who was the author of the novel `` Far From the Madding Crowd '' ?;HUMAN
1667;What is the definition of ` graphic details ' ?;DESCRIPTION
1668;What was `` America 's recessed-filter cigarette '' ?;ENTITY
1669;What kind of dog is Scooby Doo ?;ENTITY
1670;What is the function of the appendix ?;DESCRIPTION
1671;What department store heir is responsible for raising a three-ton safe from the underwater wreckage of the Andrea Doria ?;HUMAN
1672;Which sex is twice as likely to contract leprosy ?;ENTITY
1673;What was the first town to be chartered in Vermont ?;LOCATION
1674;What state has the longest Great Lakes shoreline ?;LOCATION
1675;What U.S. state ends with a G ?;LOCATION
1676;How many varieties of twins are there ?;NUMERIC
1677;What is a Cartesian Diver ?;DESCRIPTION
1678;What are the largest libraries in the US ?;LOCATION
1679;How many people live in the Falklands ?;NUMERIC
1680;Who was Camp David named for ?;HUMAN
1681;What document did President Andrew Johnson want a copy of placed under his head upon his burial ?;ENTITY
1682;Who portrayed `` the man without a face '' in the movie of the same name ?;HUMAN
1683;What happened in dogtown in 1899 to make that year remembered ?;DESCRIPTION
1684;What wheel did Blaise Pascal invent in a search for perpetual motion ?;ENTITY
1685;How much money was the minimum wage in 1991 ?;NUMERIC
1686;In what year was the first patent for the pull-tab opener on cans obtained ?;NUMERIC
1687;What country boasts the most dams ?;LOCATION
1688;What is the regular price ?;NUMERIC
1689;What Metropolis landmark was first introduced in the Superman cartoons of the 1940 's ?;LOCATION
1690;Where can one find Mozambique ?;LOCATION
1691;How do you recognize anorexia ?;DESCRIPTION
1692;What Mary Tyler Moore Show regular came into the world as Tadeus Wladyslaw Konopka ?;ENTITY
1693;In what city is the US Declaration of Independence located ?;LOCATION
1694;What is the largest variety of cactus ?;DESCRIPTION
1695;Who won the first World Series ?;HUMAN
1696;What did Aaron Hass write ?;ENTITY
1697;Who is Samuel Pickering ?;HUMAN
1698;What was the business of the animated Sky Hawks ?;HUMAN
1699;Who was credited with saying : `` I never met a man I did n't like '' ?;HUMAN
1700;What overalls are named for Dungri , a suburb of Bombay ?;ENTITY
1701;Why do rooftops give off steam after a big rainstorm ?;DESCRIPTION
1702;What nationality was Jackson Pollock ?;LOCATION
1703;How much of the earth 's surface is permanently frozen ?;NUMERIC
1704;What is the connection between New Krypton and Daxam ?;ENTITY
1705;When was Queen Victoria born ?;NUMERIC
1706;How many people were executed for Abraham Lincoln 's assassination ?;NUMERIC
1707;What must a Las Vegas blackjack dealer do when he reaches 16 ?;DESCRIPTION
1708;What is worth seeing in Reims ?;LOCATION
1709;What type of performer is Ileana Cotrubas ?;ENTITY
1710;When was Yemen reunified ?;NUMERIC
1711;What line of candy products included Super Skrunch and Peanut Butter Oompas ?;ENTITY
1712;Why did the Anglican church split from the Vatican ?;DESCRIPTION
1713;What organization has a Security Council ?;HUMAN
1714;How would I find the price of different organs that have been donated ?;DESCRIPTION
1715;What Mexican leader was shot dead in 1923 ?;HUMAN
1716;What does NECROSIS mean ?;ABBREVIATION
1717;What is magnetar ?;DESCRIPTION
1718;What feud ended with a marriage in Kentucky on March 21 , 1891 ?;ENTITY
1719;What color is the stripe along each side of a Coho salmon ?;ENTITY
1720;What is the federal minimum wage ?;NUMERIC
1721;Mississippi is nicknamed what ?;ENTITY
1722;What are the unemployment statistics for the years 1965 and 1990 ?;NUMERIC
1723;Where is Santa Lucia ?;LOCATION
1724;What female painter produced primitives of rural New England life ?;HUMAN
1725;What are names of two old men who appear in the serial tv Muppets Show ?;HUMAN
1726;What war saw battles at Parrot 's Beak and Black Virgin ?;ENTITY
1727;What should you yell to hail a taxi in Madrid ?;DESCRIPTION
1728;What is the horsepower of the shuttle boosters ?;NUMERIC
1729;What year did Apartheid start ?;NUMERIC
1730;Who created Big Ben ?;HUMAN
1731;What city is found in the city of OZ ?;LOCATION
1732;What ever happened to the once popular Yale Lock Company ?;DESCRIPTION
1733;Name the Marvel team loosely based on DC 's Justice League of America ?;HUMAN
1734;What did a 16th-century Aztec athlete get for putting a rubber ball through a ring ?;ENTITY
1735;What populous state covers 49 , 576 square miles ?;LOCATION
1736;What college football team did Knute Rockne build into a power ?;HUMAN
1737;In what state was there an 11 million gallon oil spill ?;LOCATION
1738;When did Aldous Huxley write , `` Brave New World '' ?;NUMERIC
1739;What country did the ancient Romans refer to as Hibernia ?;LOCATION
1740;In what high-risk business venture did Jimmy the Greek bet and lose ?;HUMAN
1741;What do chefs call The Master Spice ?;ENTITY
1742;What is the abbreviation of General Motors ?;ABBREVIATION
1743;What is a Devo hat ?;DESCRIPTION
1744;How long was the longest hiccup attack ?;NUMERIC
1745;What kind of weapons were used in Medieval warfare ?;ENTITY
1746;How many people live in Tokyo ?;NUMERIC
1747;What fruit-topped actress was known as The Brazilian Bombshell ?;HUMAN
1748;What are birds descendents of ?;ENTITY
1749;When the Tutankhamun exhibit was on display in the U.S. , what moving company transported it ?;HUMAN
1750;Which Kevin Costner movie involves the Sioux Indians ?;ENTITY
1751;Who played the title role in My Favorite Martian ?;HUMAN
1752;How does a scientific calculator work ?;DESCRIPTION
1753;What is a fear of fur ?;ENTITY
1754;Who invented the game Scrabble ?;HUMAN
1755;What part of their attire were `` pothooks '' to cowboys of the Old West ?;ENTITY
1756;When did humans first begin to write history seriously ?;NUMERIC
1757;Why do we have to go to school ?;DESCRIPTION
1758;What is Toulmin logic ?;DESCRIPTION
1759;A corgi is a kind of what ?;ENTITY
1760;What city in the U.S. experienced the most growth recently ?;LOCATION
1761;What is a dangling participle ?;DESCRIPTION
1762;What Tokyo street glitters with famed department stores and nightclubs ?;LOCATION
1763;What was the average life expectancy during the Stone Age ?;NUMERIC
1764;When Mighty Mouse was conceived , what was his original name ?;HUMAN
1765;What is the origin of the peace symbol ?;DESCRIPTION
1766;What group starred in the movie Rock Around the Clock ?;HUMAN
1767;How many U.S. presidents were assassinated during Queen Victoria 's reign ?;NUMERIC
1768;When was the first flush toilet invented ?;NUMERIC
1769;What is Nathan Hamill 's role in the new Star Wars prequel ?;HUMAN
1770;How many disks does each player have in a four-handed game of Crokinole ?;NUMERIC
1771;How old is the sun ?;NUMERIC
1772;What percentage of children between the ages of two and eleven watch ` The Simpsons ' ?;NUMERIC
1773;How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?;DESCRIPTION
1774;How do I write to my Congressman ?;DESCRIPTION
1775;How many years ago did Led Zeppelin release its last album ?;NUMERIC
1776;What is the term for a group of geese ?;ENTITY
1777;How many people was Randy Craft convicted of killing ?;NUMERIC
1778;What was the name of the famous battle between Texas and Mexico ?;ENTITY
1779;What country are you in if you woo in the Wu dialect ?;LOCATION
1780;What do you call a Poker hand with five cards of the same suit ?;ENTITY
1781;What New York Yankee was known as The Iron Horse ?;HUMAN
1782;Who is considered The First Lady of the American Stage ?;HUMAN
1783;Who penned : `` Neither a borrower nor a lender be '' ?;HUMAN
1784;What is moxie ?;DESCRIPTION
1785;What was the first Sam Spade novel ?;ENTITY
1786;What song did Patti Page set people dancing to in 1950 ?;ENTITY
1787;Who headed Hitler 's infamous Gestapo ?;HUMAN
1788;What South American city features the exclusive Copacabana Beach and Ipanema ?;LOCATION
1789;What German city do Italians call The Monaco of Bavaria ?;LOCATION
1790;What island group contains Jersey , Guernsey , Sark and Herm ?;LOCATION
1791;What is a fear of strong light ?;ENTITY
1792;What is a person called that likes fire ?;HUMAN
1793;Where was helium first discovered , hence its name ?;LOCATION
1794;What is the best way to overcome a fear ?;ENTITY
1795;Name a South African diamond producer ?;HUMAN
1796;Who made the musical plea Be True to Your School ?;HUMAN
1797;What French designer declared : `` The jean is the destructor ! It is a dictator ! It is destroying creativity. The jean must be stopped ! '' ?;HUMAN
1798;What season is the setting for Shakespeare 's Midsummer Night 's Dream ?;NUMERIC
1799;Name a band which was famous in the 1960 's .;HUMAN
1800;What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?;HUMAN
1801;What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?;LOCATION
1802;What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?;HUMAN
1803;What is the current ticket fare from from Cairo to Barbados ?;NUMERIC
1804;What is the second highest mountain peak in the world ?;LOCATION
1805;What Good Little Witch is Casper 's girlfriend ?;HUMAN
1806;In which Tennessee Williams play is one of the characters killed and devoured by a mob of starving children ?;ENTITY
1807;What was the nickname of Frederick I , Holy Roman Emperor and King of Germany ?;HUMAN
1808;What war did the Potsdam Conference follow ?;ENTITY
1809;What 's the most common non-contagious disease in the world ?;ENTITY
1810;What month , date , and year did Charles I die ?;NUMERIC
1811;How many cubic feet of space does a gallon of water occupy ?;NUMERIC
1812;What is the hair style called that new military recruits receive ?;DESCRIPTION
1813;What 's the world 's largest cathedral ?;LOCATION
1814;What effects do nitrates have on the environment ?;DESCRIPTION
1815;What is Nitrox diving ?;DESCRIPTION
1816;What three European countries begin with the letter A ?;LOCATION
1817;What happened in the Long March ?;DESCRIPTION
1818;What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?;ENTITY
1819;How can I find online spelling ?;DESCRIPTION
1820;How many earthworms are in a single pasture ?;NUMERIC
1821;Who made Stonehenge ?;HUMAN
1822;What is the average hourly rate of American workers ?;NUMERIC
1823;What sport features snatches and clean jerks ?;ENTITY
1824;Who 's the founder and editor of The National Review ?;HUMAN
1825;In what year did they build the Berlin Wall ?;NUMERIC
1826;Who was the first governor of West Virginia ?;HUMAN
1827;What 's the world 's longest suspension bridge ?;LOCATION
1828;What Asian city boasts the world 's biggest bowling alley ?;LOCATION
1829;When will Jean Aeul publish her next book ?;NUMERIC
1830;What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?;HUMAN
1831;When it 's time to relax , what one beer stands clear ?;ENTITY
1832;What culture developed the idea of potlatch ?;HUMAN
1833;What baseball team became the Minnesota Twins ?;HUMAN
1834;What kind of guitar did Jimi Hendrix play ?;ENTITY
1835;What were the first three cities to have a population of more than a million ?;LOCATION
1836;What constellation contains the twins Castor and Pollux ?;LOCATION
1837;How many meters are in a mile ?;NUMERIC
1838;What is a gas release event ?;DESCRIPTION
1839;What James Michener book is subtitled Spanish Travels and Reflections ?;ENTITY
1840;What famed London criminal court was once a feudal castle ?;LOCATION
1841;How many milligrams are in a gram ?;NUMERIC
1842;What stringed weapon fires a bolt ?;ENTITY
1843;Where did he get the title ?;LOCATION
1844;Where can I find a large list of 5 to 6 letter words ?;LOCATION
1845;What is Michael Jackson 's middle name ?;HUMAN
1846;Who was the first woman to fly solo across the Atlantic ?;HUMAN
1847;How long is human gestation ?;NUMERIC
1848;What does `` Semper Fidelis '' mean ?;DESCRIPTION
1849;What kind of suit did true hepcats wear in 1942 ?;ENTITY
1850;Where does Mother Angelica live ?;LOCATION
1851;How can I find out my Moon sign ?;DESCRIPTION
1852;Why does a candle need a wick ?;DESCRIPTION
1853;Musician Ray Charles plays what instrument ?;ENTITY
1854;What were the three prophecies the witches make to Macbeth ?;DESCRIPTION
1855;What 's the population of Mississippi ?;NUMERIC
1856;Who started the Dominos Pizza chain ?;HUMAN
1857;In what film did Steven Spielberg 's dog star as the main character 's dog ?;ENTITY
1858;What are all the different kinds of contraceptives ?;ENTITY
1859;How old is Jeremy Piven ?;NUMERIC
1860;What is the history of yo-yos ?;DESCRIPTION
1861;Which NBA players had jersey number 0 ?;HUMAN
1862;What chocolate company gives you a one-pound kiss ?;HUMAN
1863;How does one correctly pronounce ` qigong ' ?;DESCRIPTION
1864;What fossilizes to form coprolite ?;ENTITY
1865;How many colored squares are there on a Rubik 's Cube ?;NUMERIC
1866;Where is the Mayo Clinic ?;LOCATION
1867;What Caribbean island is sometimes called Little England ?;LOCATION
1868;Where is Amsterdam ?;LOCATION
1869;Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?;LOCATION
1870;What 's another word that means `` knows all '' ?;ENTITY
1871;Who is the famous movie star who also acted as sewer commissioner of Provo Canyon , Utah ?;HUMAN
1872;What Australian city became the home of the America 's Cup ?;LOCATION
1873;Aspartame is known by what other name ?;ENTITY
1874;What is pasta ?;DESCRIPTION
1875;Name Randy Craft 's lawyer .;HUMAN
1876;What color is `` ash '' ?;ENTITY
1877;What is the best distance education university or college ?;HUMAN
1878;What river does the Grand Coulee Dam dam ?;LOCATION
1879;How often are quadruplets born ?;NUMERIC
1880;How does psorisis disappear ?;DESCRIPTION
1881;How many presidents have died on the 4th of July ?;NUMERIC
1882;What three colors are on the French flag ?;ENTITY
1883;What 's the mystery of the Bermuda Triangle ?;DESCRIPTION
1884;What are the seven wonders of the world ?;ENTITY
1885;What does CNN stand for ?;ABBREVIATION
1886;What is a person called that likes fire ?;HUMAN
1887;Who portrayed Vincent Van Gogh in Lust for Life ?;HUMAN
1888;What constitutes an adult ?;ENTITY
1889;What is a reliable site that I can download Heretic 2 ?;LOCATION
1890;What is a neurosurgeon ?;DESCRIPTION
1891;What baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?;ENTITY
1892;What are amaretto biscuits ?;DESCRIPTION
1893;What common ailment can 't you catch at the North Pole ?;ENTITY
1894;What season begins with the vernal equinox ?;NUMERIC
1895;Who was known as the Time Master in comic books ?;HUMAN
1896;What was the name of Roy Rogers 's dog ?;ENTITY
1897;What TV series changed the names to protect the innocent ?;ENTITY
1898;Where did cable cars first roll down Clay Street in 1873 ?;LOCATION
1899;What is George Lucas 's e-mail address ?;LOCATION
1900;How do I give a good massage ?;DESCRIPTION
1901;Who is the father of the computer ?;HUMAN
1902;What is the origin of `` jiggy '' as in getting jiggy with it ?;DESCRIPTION
1903;What is the origin of a.m. and p.m. ?;DESCRIPTION
1904;What is the definition of cosmology ?;DESCRIPTION
1905;What is the name of the dog on the Cracker Jack box ?;ENTITY
1906;What are manifest and latent function theories ?;DESCRIPTION
1907;What William Styron book is about a black preacher who leads a slave revolt ?;ENTITY
1908;What is the chemical symbol for nitrogen ?;ENTITY
1909;Who said : `` Old soldiers never die ;
1910;What National League baseball team employed 72 third baseemen in its first 2 seasons ?;HUMAN
1911;What are snowballs to a hot-rodder ?;DESCRIPTION
1912;How long were Tyrannosaurus Rex 's teeth ?;NUMERIC
1913;What is the origin of the word Ozymandias ?;DESCRIPTION
1914;Who 's the only man to have won the Olympic decathlon twice ?;HUMAN
1915;What Kenyan city is the safari center for East Africa ?;LOCATION
1916;Why do men snore ?;DESCRIPTION
1917;What causes `` rolling thunder '' ?;DESCRIPTION
1918;What is the name of Miss India 1994 ?;HUMAN
1919;What four U.S. states have active volcanoes ?;LOCATION
